1.0000 0.8621 0.7746 0.7505 0.5851 0.7120 0.8320 0.7851 0.7746 0.7982
0.8621 1.0000 0.9008 0.8223 0.7109 0.7077 0.7956 0.7931 0.9008 0.8035
0.7746 0.9008 1.0000 0.7196 0.5978 0.5956 0.6975 0.6871 1.0000 0.6611
0.7505 0.8223 0.7196 1.0000 0.5954 0.6770 0.8063 0.7257 0.7196 0.6670
0.5851 0.7109 0.5978 0.5954 1.0000 0.6081 0.6832 0.6399 0.5978 0.6388
0.7120 0.7077 0.5956 0.6770 0.6081 1.0000 0.6645 0.6231 0.5956 0.7027
0.8320 0.7956 0.6975 0.8063 0.6832 0.6645 1.0000 0.7953 0.6975 0.7284
0.7851 0.7931 0.6871 0.7257 0.6399 0.6231 0.7953 1.0000 0.6871 0.7193
0.7746 0.9008 1.0000 0.7196 0.5978 0.5956 0.6975 0.6871 1.0000 0.6611
0.7982 0.8035 0.6611 0.6670 0.6388 0.7027 0.7284 0.7193 0.6611 1.0000
