0.6475 0.3859 0.3884 0.3837 0.1309 0.2188 0.0824 0.2391 0.3884 0.2748
0.3859 0.6231 0.5866 0.5817 0.2087 0.3113 0.1158 0.3458 0.5866 0.3951
0.3884 0.5866 0.6231 0.6182 0.2005 0.3282 0.1130 0.3457 0.6231 0.3865
0.3837 0.5817 0.6182 0.6231 0.2026 0.3314 0.1132 0.3471 0.6182 0.3830
0.1309 0.2087 0.2005 0.2026 0.6053 0.2738 0.2108 0.3017 0.2005 0.2648
0.2188 0.3113 0.3282 0.3314 0.2738 0.6123 0.1470 0.4191 0.3282 0.4091
0.0824 0.1158 0.1130 0.1132 0.2108 0.1470 0.5953 0.1707 0.1130 0.1430
0.2391 0.3458 0.3457 0.3471 0.3017 0.4191 0.1707 0.6136 0.3457 0.4243
0.3884 0.5866 0.6231 0.6182 0.2005 0.3282 0.1130 0.3457 0.6231 0.3865
0.2748 0.3951 0.3865 0.3830 0.2648 0.4091 0.1430 0.4243 0.3865 0.6129
